时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置,雷达开机状态
0,5.166667,0,9144,-90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
0.053219,5.166546,0,9144.000099,-90,5.708816,0,212.238039,0,-137.349972,0,0,0,0.820283,6,0,0,0,0,0,0,1
0.119212,5.166396,0,9144.000229,-90,5.627526,0,200.388529,0,-154.133374,0,0,0,0.8203,6,0,0,0,0,0,0,0
0.186739,5.166242,0,9144.000207,-90,5.638763,0,202.107731,0,-151.871806,0,0,0,0.8203,6,0,0,0,0,0,0,0
0.253401,5.166091,0,9144.000208,-90,5.638584,-0.000001,202.080296,-0.000173,-151.90796,0,0,0,0.820299,6,0,0,0,0,0,0,0
0.319401,5.16594,0,9144.000208,-90,5.638576,-0.000001,202.078918,-0.000173,-151.909453,0,0,0,0.820298,6,0,0,0,0,0,0,0
0.386312,5.165788,0,9144.000208,-90,5.638563,0,202.076772,0,-151.911971,0,0,0,0.820298,6,0,0,0,0,0,0,0
0.453426,5.165636,0,9144.000208,-90,5.63855,0,202.074679,0,-151.914424,0,0,0,0.820297,6,0,0,0,0,0,0,0
0.519897,5.165485,0,9144.000208,-90,5.638537,0,202.07255,0,-151.916936,0,0,0,0.820296,6,0,0,0,0,0,0,0
0.585916,5.165335,0,9144.000208,-90,5.638524,0,202.070406,0,-151.919478,0,0,0,0.820296,6,0,0,0,0,0,0,0
0.652627,5.165183,0,9144.000208,-90,5.638511,0,202.068281,0,-151.921998,0,0,0,0.820295,6,0,0,0,0,0,0,0
0.720744,5.165028,0,9144.000208,-90,5.638498,0,202.066178,0,-151.924489,0,0,0,0.820295,6,0,0,0,0,0,0,0
0.785885,5.16488,0,9144.000208,-90,5.638485,0,202.064066,0,-151.927012,0,0,0,0.820294,6,0,0,0,0,0,0,0
0.85271,5.164728,0,9144.000208,-90,5.638471,0,202.06186,0,-151.929658,0,0,0,0.820293,6,0,0,0,0,0,0,0
0.919716,5.164576,0,9144.000208,-90,5.638459,0,202.059795,0,-151.932123,0,0,0,0.820293,6,0,0,0,0,0,0,0
0.985751,5.164426,0,9144.000208,-90,5.638445,0,202.05766,0,-151.934691,0,0,0,0.820292,6,0,0,0,0,0,0,0
1.052968,5.164273,0,9144.000235,-89.999996,5.638432,0.000041,202.062171,0.008333,-151.942295,0,0,0,0.820319,6,0,0,0,0,0,0,0
1.128533,5.164101,0,9144.000287,-89.999983,5.623945,0.000174,199.858292,0.03486,-154.867956,0,0,0,0.820395,6,0,0,0,0,0,0,0
1.192592,5.163955,0,9144.0003,-89.999966,5.616313,0.000343,198.689411,0.068191,-156.403556,0,0,0,0.820473,6,0,0,0,0,0,0,0
1.255252,5.163813,0,9144.000299,-89.999946,5.615723,0.000545,198.615546,0.108312,-156.535317,0,0,0,0.820549,6,0,0,0,0,0,0,0
1.333018,5.163636,0,9144.000299,-89.999916,5.615046,0.000834,198.532456,0.165645,-156.687738,0,0,0,0.820644,6,0,0,0,0,0,0,0
1.3961,5.163492,0,9144.000299,-89.999889,5.614228,0.001092,198.422618,0.216663,-156.864908,0,0,0,0.820721,6,0,0,0,0,0,0,0
1.457287,5.163353,0,9144.000299,-89.999861,5.613534,0.001355,198.331687,0.268789,-157.016754,0,0,0,0.820795,6,0,0,0,0,0,0,0
1.533333,5.16318,0,9144.000299,-89.999824,5.612875,0.001695,198.2505,0.336066,-157.165027,0,0,0,0.820888,6,0,0,0,0,0,0,0
1.598182,5.163033,0,9144.000299,-89.999792,5.612076,0.001992,198.143737,0.39468,-157.338571,0,0,0,0.820966,6,0,0,0,0,0,0,0
1.65966,5.162893,0,9144.000299,-89.999759,5.611368,0.002276,198.050241,0.450721,-157.493119,0,0,0,0.821041,6,0,0,0,0,0,0,0
