时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置
0.000000,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.093492,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.145262,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.038511,0.000000,0.000000,0.000000,0.000000,0.000000
0.243859,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.035642,0.000000,0.000000,0.000000,0.000000,0.000000
0.343422,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.042488,0.000000,0.000000,0.000000,0.000000,0.000000
0.395164,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000
0.493733,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.047890,0.000000,0.000000,0.000000,0.000000,0.000000
0.595285,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.049628,0.000000,0.000000,0.000000,0.000000,0.000000
0.694875,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.051259,0.000000,0.000000,0.000000,0.000000,0.000000
0.793398,1.166667,0.000000,9144.000000,-90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.052405,0.000000,0.000000,0.000000,0.000000,0.000000
