时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置,迎角,侧滑角,法向过载,燃油消耗,油门位置
0,-1.166667,0.083333,9144,90,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0.093492,-1.166454,0.083333,9144.000272,90,5.708816,0,212.234925,0,-137.347956,0,61.061882,0,0.820271,6,0.005762,24.424753,24.424753,0,0,0,0,0,0,0,0
0.145262,-1.166336,0.083333,9144.000353,90,5.636274,0.000001,201.722236,0.000172,-152.369356,0.000016,-1.401249,0,0.820272,6,0.639762,-0.5605,-0.5605,0.000007,-0.000007,0,0,0,0,0,0
0.243859,-1.166112,0.083333,9144.000343,90,5.638701,0,202.091465,0,-151.879257,-0.000009,0.024618,0,0.820272,6,0.592319,0.009847,0.009847,-0.000003,0.000003,0,0,0,0,0,0
0.343422,-1.165886,0.083333,9144.000343,90,5.638638,0,202.081912,0,-151.891919,0,-0.00063,0,0.820272,6,0.704912,-0.000252,-0.000252,0,0,0,0,0,0,0,0
0.395164,-1.165768,0.083333,9144.000343,90,5.638619,0,202.078886,0,-151.89592,0,-0.000384,0,0.820272,6,0.86215,-0.000153,-0.000153,0,0,0,0,0,0,0,0
0.493733,-1.165544,0.083333,9144.000343,90,5.638597,0,202.075592,0,-151.900257,0,-0.000219,0,0.820272,6,0.793824,-0.000087,-0.000087,0,0,0,0,0,0,0,0
0.595285,-1.165313,0.083333,9144.000343,90,5.638587,0,202.073988,0,-151.902345,0,-0.000103,0,0.820272,6,0.822399,-0.000041,-0.000041,0,0,0,0,0,0,0,0
0.694875,-1.165087,0.083333,9144.000343,90,5.638565,0,202.070749,0,-151.906611,0,-0.000213,0,0.820272,6,0.849277,-0.000085,-0.000085,0,0,0,0,0,0,0,0
0.793398,-1.164863,0.083333,9144.000343,90,5.638544,0,202.067444,0,-151.910967,0,-0.00022,0,0.820271,6,0.868137,-0.000088,-0.000088,0,0,0,0,0,0,0,0
0.845213,-1.164745,0.083333,9144.000343,90,5.638523,0,202.064215,0,-151.91524,0,-0.000409,0,0.820271,6,0.930365,-0.000164,-0.000164,0,0,0,0,0,0,0,0
0.943778,-1.164521,0.083333,9144.000343,90,5.638501,0,202.060967,0,-151.919522,0,-0.000216,0,0.820271,6,0.887578,-0.000086,-0.000086,0,0,0,0,0,0,0,0
1,-1.164393,0.083333,9144.000343,90,5.638491,0,202.059362,0,-151.921635,0,-0.000187,0,0.820271,6,0.935298,-0.000075,-0.000075,0,0,0,0,0,0,0,0
1.095081,-1.164177,0.083333,9144.000421,90.002357,5.638469,0.023988,202.011207,4.846832,-151.936091,0.252292,-0.000231,0.024788,0.820325,6,0.90494,-0.000092,-0.000092,0.100917,-0.100917,0.002479,0.002479,0.002479,0.002479,0.002479,0.002479
1.149901,-1.164052,0.083333,9144.000448,90.005631,5.617856,0.057263,198.584417,11.384024,-156.081038,0.606987,-0.376012,0.059726,0.82039,6,1.139858,-0.150405,-0.150405,0.242795,-0.242795,0.005973,0.005973,0.005973,0.005973,0.005973,0.005973
1.25,-1.163825,0.083333,9144.000452,90.014182,5.616438,0.143042,196.688928,28.328207,-156.386162,0.856939,-0.014166,0.085422,0.820512,6,1.300114,-0.005666,-0.005666,0.342776,-0.342776,0.008542,0.008542,0.008542,0.008542,0.008542,0.008542
1.3,-1.163711,0.083333,9144.000452,90.019518,5.615427,0.195625,194.787487,38.598906,-156.598539,1.05166,-0.020213,0.106722,0.820573,6,1.691796,-0.008085,-0.008085,0.420664,-0.420664,0.010672,0.010672,0.010672,0.010672,0.010672,0.010672
1.35,-1.163597,0.083333,9144.000452,90.025408,5.614841,0.252506,192.203318,49.591058,-156.72665,1.137634,-0.011735,0.117804,0.820634,6,1.841619,-0.004694,-0.004694,0.455053,-0.455053,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178
1.443601,-1.163384,0.083333,9144.000453,90.037495,5.614322,0.367801,185.172222,71.35352,-156.851254,1.231777,-0.005536,0.129133,0.820748,6,1.920934,-0.002214,-0.002214,0.492711,-0.492711,0.012913,0.012913,0.012913,0.012913,0.012913,0.012913
1.5,-1.163256,0.083333,9144.000454,90.04536,5.61334,0.441366,179.302583,84.71167,-157.059255,1.304356,-0.017418,0.139448,0.820816,6,2.206777,-0.006967,-0.006967,0.521743,-0.521743,0.013945,0.013945,0.013945,0.013945,0.013945,0.013945
1.55,-1.163142,0.083333,9144.000454,90.052652,5.612681,0.507999,173.186691,96.418965,-157.201562,1.332646,-0.013181,0.145855,0.820877,6,2.344414,-0.005272,-0.005272,0.533058,-0.533058,0.014585,0.014585,0.014585,0.014585,0.014585,0.014585
