时间戳,雷达开关机状态,雷达扫描方式,俯仰扫描范围,方位扫描范围,跟踪目标数量,目标批号,雷达对该目标状态,目标距离,目标方位角,目标俯仰角,目标径向速度,目标速度X轴,目标速度Y轴,目标速度Z轴,目标RCS
10,1,1,30,60,5,1,2,255911.0279,-0.646399,-0.02056,-272.725626,5.445863,272.810919,-3.349787,1.001209
20,1,1,30,60,5,1,2,250434.9739,-0.327136,-0.019304,-274.201778,5.359986,274.18529,-4.945528,1.00031
30,1,1,30,60,5,1,2,244950.1709,-0.256346,-0.019117,-274.201694,5.24306,274.209898,-5.448839,1.00019
40,1,1,30,60,5,1,2,239468.4857,-0.259833,-0.018782,-274.232066,5.12522,274.207256,-5.723587,1.000195
50,1,1,30,60,5,1,2,233987.5264,-0.24521,-0.018759,-274.26805,5.007276,274.205601,-5.905186,1.000174
60,1,1,30,60,5,1,2,228504.2743,-0.265758,-0.017924,-274.240687,4.889287,274.204876,-6.036259,1.000204
61.1162,1,1,30,60,5,1,2,227893.014,0.016136,-0.018072,-274.261439,4.876115,274.204837,-6.048691,1.000001
63.1162,1,1,30,60,5,1,2,226794.8687,-0.007382,-0.018065,-274.249139,4.852513,274.204784,-6.07005,1
65.1162,1,1,30,60,5,1,2,225699.6359,-0.004689,-0.017506,-274.241515,4.82891,274.204751,-6.090342,1
67.1162,1,1,30,60,5,1,2,224603.314,0.005931,-0.017771,-274.232466,4.805306,274.204736,-6.109631,1
69.1162,1,1,30,60,5,1,2,223506.0312,0.004768,-0.017546,-274.245049,4.781701,274.204738,-6.12802,1
71.1162,1,1,30,60,5,1,2,222408.158,-0.017441,-0.017296,-274.207711,4.758096,274.204756,-6.145568,1.000001
73.1162,1,1,30,60,5,1,2,221314.4981,-0.001948,-0.017338,-273.789441,4.726496,273.742497,-6.151372,1
75.1162,1,1,30,60,5,1,2,220218.7182,-0.000416,-0.017375,-273.22946,4.69389,273.216962,-6.147339,1
77.1162,1,1,30,60,5,1,2,219123.6601,-0.001889,-0.017074,-273.006309,4.666209,272.971305,-6.144847,1
79.1162,1,1,30,60,5,1,2,218030.8648,0.007057,-0.017233,-272.863585,4.640755,272.852297,-6.143371,1
81.1162,1,1,30,60,5,1,2,216937.7303,0.008464,-0.016947,-272.851012,4.616407,272.796055,-6.142363,1
83.1162,1,1,30,60,5,1,2,215841.3308,-0.011944,-0.017151,-272.827725,4.59258,272.769597,-6.141758,1
85.1162,1,1,30,60,5,1,2,214749.1139,0.008727,-0.01677,-272.791167,4.568991,272.757024,-6.141466,1
87.1162,1,1,30,60,5,1,2,213655.3013,0.007308,-0.016645,-272.802172,4.54552,272.751304,-6.141329,1
89.1162,1,1,30,60,5,1,2,212563.8169,-0.009086,-0.016673,-272.783551,4.522102,272.748724,-6.141262,1
91.1162,1,1,30,60,5,1,2,211468.2133,-0.006156,-0.016374,-272.790478,4.49871,272.747697,-6.14123,1
93.1162,1,1,30,60,5,1,2,210375.9871,0.014879,-0.016565,-272.788354,4.475331,272.747413,-6.141215,1.000001
95.1162,1,1,30,60,5,1,2,209281.8642,-0.010434,-0.016499,-272.759993,4.451958,272.747473,-6.141208,1
97.1162,1,1,30,60,5,1,2,208187.6778,0.001894,-0.016593,-272.785514,4.428587,272.747702,-6.141204,1
99.1162,1,1,30,60,5,1,2,207093.9224,-0.006816,-0.016119,-272.778457,4.405218,272.748007,-6.141203,1
101.1162,1,1,30,60,5,1,2,206001.4961,-0.00014,-0.016219,-272.800806,4.381849,272.748348,-6.141202,1
103.1162,1,1,30,60,5,1,2,204907.9348,0.019583,-0.016226,-272.783501,4.358481,272.748706,-6.141202,1.000001
105.1162,1,1,30,60,5,1,2,203813.0477,-0.003099,-0.016184,-272.788642,4.335113,272.74907,-6.141201,1
107.1162,1,1,30,60,5,1,2,202720.6629,-0.01424,-0.015822,-272.764648,4.311744,272.749437,-6.141201,1.000001
109.1162,1,1,30,60,5,1,2,201627.705,-0.001608,-0.015626,-272.774956,4.288376,272.749803,-6.141201,1
111.1162,1,1,30,60,5,1,2,200533.611,0.014194,-0.015613,-272.792126,4.265008,272.750168,-6.141201,1.000001
113.1162,1,1,30,60,5,1,2,199439.1583,-0.007814,-0.015397,-272.775724,4.24164,272.750532,-6.141201,1
115.1162,1,1,30,60,5,1,2,198346.0277,0.008683,-0.015667,-272.804564,4.218271,272.750894,-6.141201,1
117.1162,1,1,30,60,5,1,2,197253.6032,-0.019788,-0.015448,-272.792898,4.194903,272.751255,-6.141201,1.000001
119.1162,1,1,30,60,5,1,2,196158.9099,0.006369,-0.015437,-272.790963,4.171535,272.751613,-6.141201,1
121.1162,1,1,30,60,5,1,2,195065.4192,0.011691,-0.015246,-272.775964,4.148166,272.751969,-6.141201,1
123.1162,1,1,30,60,5,1,2,193970.2316,-0.005689,-0.015141,-272.806987,4.124798,272.752323,-6.141201,1
125.1162,1,1,30,60,5,1,2,192878.1625,0.005662,-0.015281,-272.797099,4.101429,272.752675,-6.141201,1
127.1162,1,1,30,60,5,1,2,191784.3401,0.008938,-0.014768,-272.800544,4.078061,272.753026,-6.141201,1
129.1162,1,1,30,60,5,1,2,190690.3232,-0.023023,-0.014888,-272.774208,4.054692,272.753374,-6.141201,1.000002
131.1162,1,1,30,60,5,1,2,189597.6875,0.016743,-0.014835,-272.817947,4.031324,272.75372,-6.141201,1.000001
133.1162,1,1,30,60,5,1,2,188504.3291,-0.008193,-0.014537,-272.771012,4.007955,272.754064,-6.141201,1
135.1162,1,1,30,60,5,1,2,187409.4885,0.001771,-0.014736,-272.79185,3.984587,272.754407,-6.141201,1
137.1162,1,1,30,60,5,1,2,186316.8396,0.007502,-0.014486,-272.788371,3.961218,272.754747,-6.141201,1
139.1162,1,1,30,60,5,1,2,185222.8936,-0.006463,-0.014553,-272.823741,3.937849,272.755085,-6.141201,1
141.1162,1,1,30,60,5,1,2,184129.1739,-0.000751,-0.014345,-272.813522,3.914482,272.755519,-6.141229,1
143.1162,1,1,30,60,5,1,2,183035.7234,-0.008807,-0.014326,-272.811896,3.891095,272.75593,-6.251964,1
145.1162,1,1,30,60,5,1,2,181941.6524,0.010875,-0.014143,-272.81556,3.86763,272.750618,-6.546103,1
147.1162,1,1,30,60,5,1,2,180848.4341,-0.002504,-0.014308,-272.823293,3.844483,272.743174,-6.885781,1
149.1162,1,1,30,60,5,1,2,179754.2207,0.002195,-0.01403,-272.814834,3.821543,272.735526,-7.205521,1
151.1162,1,1,30,60,5,1,2,178661.0186,-0.010977,-0.014213,-272.830156,3.798609,272.728458,-7.485057,1
153.1162,1,1,30,60,5,1,2,177567.3122,0.008942,-0.013988,-272.829383,3.775591,272.72221,-7.723026,1
155.1162,1,1,30,60,5,1,2,176472.9285,-0.00478,-0.013845,-272.805237,3.752509,272.716756,-7.92541,1
157.1162,1,1,30,60,5,1,2,175380.0771,0.002211,-0.013742,-272.825839,3.729361,272.71204,-8.097311,1
