时间戳,导弹经度,导弹纬度,导弹高度,导弹航向角,导弹俯仰角,导弹滚转角,导弹速度X轴,导弹速度Y轴,导弹速度Z轴,加力状态,导弹导引头截获状态,本机剩余弹量
302,0.435897,0.029568,9144,-87.777181,0,0,272.857604,0,0,0,1,1
302.1,0.435645,0.029578,9144.12092,-87.777139,0.493814,0,253.897507,0,136.672388,1,1,1
302.2,0.43538,0.029588,9144.518296,-87.777098,1.0441,0,152.736988,0,262.666123,1,1,1
302.3,0.4351,0.029599,9145.250966,-87.777058,1.650551,0.000001,-25.442555,-0.000022,318.334876,1,1,1
302.4,0.434806,0.02961,9146.382161,-87.777019,2.312981,0,-226.333325,0,246.791631,1,1,1
302.5,0.434499,0.029622,9147.959512,-87.776981,2.96316,0,-344.969123,0,62.21547,1,1,1
302.6,0.434177,0.029635,9150.006368,-87.776945,3.583505,0,-331.203626,0,-156.698507,1,1,1
302.7,0.433842,0.029648,9152.539907,-87.776909,4.176064,0,-195.427648,0,-328.756077,1,1,1
302.75,0.433669,0.029655,9153.995388,-87.776892,4.462334,-0.000001,-96.65036,0.000083,-378.426363,1,1,1
302.8,0.433492,0.029661,9155.578733,-87.776875,4.742315,0,11.930867,0,-398.556639,1,1,1
302.9,0.433128,0.029676,9159.135006,-87.776842,5.284629,0,224.806257,0,-349.00596,1,1,1
303,0.43275,0.02969,9163.226121,-87.776811,5.804219,0,383.137729,0,-198.962389,1,1,1
303.1,0.432357,0.029705,9167.867091,-87.776781,6.302472,0.000001,448.376077,0.000383,8.648576,1,1,1
303.2,0.431949,0.029721,9173.072442,-87.776751,6.780639,0,408.96154,0,222.066441,1,1,1
303.25,0.43174,0.029729,9175.892005,-87.776737,7.012326,0,353.405915,0,315.722692,1,1,1
303.3,0.431527,0.029738,9178.857911,-87.776723,7.239403,0,278.196389,0,394.182354,1,1,1
303.4,0.43109,0.029755,9185.233816,-87.776696,7.680732,0,86.13724,0,492.201029,1,1,1
