时间,速度,经度,纬度,高度,油耗
0,539.032,123.5,25.8,10000,0.0149361
1,534.743,123.505,25.8,9999.19,1.28587
2,529.662,123.511,25.8,9996.6,2.31817
3,524.319,123.516,25.8,9992.98,3.23831
4,518.921,123.521,25.8,9988.74,4.09664
5,513.531,123.526,25.8,9984.11,4.9134
6,508.181,123.531,25.8,9979.22,5.69727
7,502.929,123.536,25.8,9974.15,6.46684
8,497.8,123.541,25.8,9968.92,7.23096
9,492.791,123.546,25.8,9963.56,7.99027
10,487.902,123.551,25.8,9958.06,8.74509
11,483.128,123.556,25.8,9952.43,9.49562
12,478.466,123.561,25.8,9946.68,10.242
13,473.912,123.566,25.8,9940.8,10.9848
14,469.461,123.57,25.8,9934.78,11.7244
15,465.111,123.575,25.8,9928.63,12.4608
16,460.859,123.58,25.8,9922.35,13.1942
17,456.704,123.584,25.8,9915.93,13.9245
18,452.65,123.589,25.8,9909.37,14.652
19,448.695,123.593,25.8,9902.67,15.3767
20,444.815,123.598,25.8,9895.82,16.0987
21,441.002,123.602,25.8,9888.83,16.8181
22,437.255,123.606,25.8,9881.71,17.535
23,433.573,123.611,25.8,9874.45,18.2493
24,429.955,123.615,25.8,9867.05,18.9612
25,426.4,123.619,25.8,9859.53,19.6707
26,422.907,123.624,25.8,9851.88,20.3779
27,419.474,123.628,25.8,9844.1,21.0827
28,416.101,123.632,25.8,9836.19,21.7854
29,412.787,123.636,25.8,9828.17,22.4859
30,409.53,123.64,25.8,9820.02,23.1844
