航向角,过载,高度,速度
0.000859934,1.54758,10000,539.025
0.0018728,1.46867,10000,538.981
0.00312948,1.35816,10000,538.939
0.00445176,1.24364,10000,538.897
0.00564758,1.12905,10000,538.854
0.00651569,1.01893,10000,538.81
0.00684448,0.917782,10000,538.766
0.00652646,0.829535,10000,538.721
0.00559767,0.757332,10000,538.676
0.00415704,0.703401,10000,538.631
0.00236256,0.668967,10000,538.585
0.000414599,0.654236,10000,538.539
-0.00146768,0.65843,10000,538.494
-0.00307244,0.67989,10000,538.449
-0.00421918,0.716243,10000,538.404
-0.00477712,0.764615,10000,538.36
-0.00467557,0.821867,10000,538.316
-0.00390599,0.884833,10000,538.273
-0.00251665,0.950514,10000,538.231
-0.000600538,1.01621,10000,538.189
0.00171772,1.07973,10000,538.148
0.00432341,1.13936,10000,538.107
0.00711903,1.19379,10000,538.066
0.00998825,1.24209,10000,538.026
0.0128012,1.28367,10000,537.986
0.0154314,1.31793,10000,537.946
0.0177663,1.34367,10000,537.907
0.0197138,1.36297,10000,537.868
0.0212138,1.37634,10000,537.829
0.0222347,1.38482,10000,537.79
0.0227826,1.38963,10000,537.752
0.0229055,1.3921,10000,537.713
0.0226917,1.39364,10000,537.675
0.0222654,1.39558,10000,537.637
0.0217773,1.39916,10000,537.599
0.021391,1.40534,10000,537.561
0.021267,1.41481,10000,537.523
0.0215482,1.42795,10000,537.486
0.0223462,1.44483,10000,537.449
0.0237334,1.46526,10000,537.412
0.0257384,1.48885,10000.1,537.375
0.0283469,1.51505,10000.1,537.339
0.0315066,1.54324,10000.1,537.303
0.0351355,1.57274,10000.1,537.268
0.0391305,1.60289,10000.1,537.232
0.0433783,1.63302,10000.1,537.198
0.0477637,1.66251,10000.1,537.163
0.052179,1.6908,10000.1,537.129
0.0565306,1.71745,10000.1,537.095
0.0607456,1.74211,10000.1,537.062
0.0647761,1.76461,10000.1,537.029
0.0686025,1.78492,10000.2,536.996
0.0722341,1.80317,10000.2,536.963
0.075708,1.81963,10000.2,536.931
0.079085,1.83465,10000.2,536.898
0.0824442,1.84868,10000.2,536.867
0.0858748,1.86212,10000.2,536.835
0.0894682,1.87539,10000.2,536.803
0.0933092,1.88882,10000.3,536.772
0.0974691,1.90267,10000.3,536.741
0.102001,1.91711,10000.3,536.71
0.106934,1.93225,10000.3,536.679
0.112279,1.94809,10000.3,536.649
0.118022,1.96459,10000.4,536.619
0.124133,1.98166,10000.4,536.589
0.130569,1.99917,10000.4,536.559
0.137279,2.01695,10000.4,536.53
0.144208,2.03483,10000.5,536.5
0.151305,2.05265,10000.5,536.471
0.158523,2.07023,10000.5,536.443
0.165826,2.08746,10000.6,536.414
0.173189,2.10424,10000.6,536.386
0.180601,2.12052,10000.6,536.357
0.188063,2.13629,10000.6,536.33
0.195592,2.15159,10000.7,536.302
0.203211,2.1665,10000.7,536.274
0.210955,2.18109,10000.7,536.247
0.218858,2.19547,10000.8,536.22
0.226959,2.20972,10000.8,536.193
0.235291,2.22391,10000.9,536.166
0.243882,2.23812,10000.9,536.139
0.252752,2.25237,10000.9,536.113
0.261912,2.26668,10001,536.086
0.271364,2.28105,10001,536.06
0.281101,2.29546,10001.1,536.034
0.291109,2.30989,10001.1,536.009
0.30137,2.32429,10001.2,535.983
0.311863,2.33864,10001.2,535.958
0.322567,2.35288,10001.2,535.932
0.333462,2.367,10001.3,535.907
0.344531,2.38097,10001.3,535.882
0.355762,2.39478,10001.4,535.858
0.367149,2.40842,10001.4,535.833
0.378691,2.4219,10001.5,535.808
0.390394,2.43526,10001.6,535.784
0.402266,2.44851,10001.6,535.76
0.414321,2.46169,10001.7,535.736
0.426573,2.47483,10001.7,535.712
0.439038,2.48797,10001.8,535.688
0.45173,2.50111,10001.8,535.664
0.464661,2.51427,10001.9,535.641
0.47784,2.52745,10002,535.617
0.491272,2.54065,10002,535.594
0.504959,2.55384,10002.1,535.571
0.518897,2.56702,10002.2,535.548
0.533081,2.58015,10002.2,535.525
0.547502,2.59321,10002.3,535.502
0.562151,2.60618,10002.4,535.479
0.577018,2.61904,10002.4,535.457
0.592093,2.63177,10002.5,535.434
0.607368,2.64436,10002.6,535.412
0.622838,2.65682,10002.7,535.389
