时间戳,导弹经度,导弹纬度,导弹高度,导弹航向角,导弹俯仰角,导弹滚转角,导弹速度X轴,导弹速度Y轴,导弹速度Z轴,加力状态,导弹导引头截获状态,射程,范围,射速,剩余弹药,武器发射,航炮发射
304,-0.421067,0.062686,9143.960594,92.114073,4.83674,0.017275,33.837731,0.584598,-270.75084,0,1,2,30,100,,0,0
304.1,-0.420815,0.062676,9144.081528,92.114126,0.493843,0.000001,253.893683,0.000217,136.679787,0,1,2,30,100,,0,0
304.2,-0.420549,0.062667,9144.478919,92.114182,1.044133,0,152.728436,0,262.671252,0,1,2,30,100,,0,0
304.3,-0.42027,0.062656,9145.211609,92.114242,1.650588,0,-25.454329,0,318.334064,0,1,2,30,100,,0,0
304.4,-0.419976,0.062645,9146.342827,92.114306,2.313022,0,-226.343596,0,246.782376,0,1,2,30,100,,0,0
304.5,-0.419669,0.062634,9147.920194,92.114373,2.963172,0,-344.970044,0,62.211437,0,1,2,30,100,,0,0
304.55,-0.41951,0.062628,9148.884921,92.114409,3.276779,0,-355.199042,0,-48.312564,0,1,2,30,100,,1,0
304.6,-0.419347,0.062622,9149.969199,92.114446,3.583159,-0.000001,-331.302885,0.0004,-156.605502,0,1,2,30,100,,1,0
304.7,-0.419012,0.06261,9152.502809,92.114521,4.17559,0,-195.608987,0,-328.706677,0,1,2,30,100,,1,0
304.8,-0.418662,0.062597,9155.539658,92.1146,4.742085,0,11.839217,0,-398.563918,0,1,2,30,100,,1,0
304.9,-0.418298,0.062583,9159.095781,92.114683,5.284323,0,224.702154,0,-349.078563,0,1,2,30,100,,1,0
305,-0.417919,0.062569,9163.186686,92.11477,5.803828,0,383.064133,0,-199.114529,0,1,2,30,100,,1,0
305.1,-0.417526,0.062555,9167.827372,92.114861,6.301984,0,448.38524,0,8.429837,0,1,2,30,100,,0,1
305.2,-0.417119,0.06254,9173.032354,92.114957,6.78005,0,409.096837,0,221.827918,0,1,2,30,100,,0,1
305.3,-0.416696,0.062524,9178.815672,92.115057,7.239177,0,278.265264,0,394.090694,0,1,2,30,100,,0,1
305.4,-0.416259,0.062508,9185.190892,92.115161,7.680418,0.000001,86.285575,0.000074,492.139505,0,1,2,30,100,,0,1
305.5,-0.415807,0.062491,9192.171142,92.11527,8.104738,0,-128.29014,0,500.845226,0,1,2,30,100,,0,1
305.593907,-0.415369,0.062475,9199.288468,92.115376,8.488526,0,-316.24492,0,429.623158,0,1,2,30,100,,0,1
305.7,-0.414857,0.062456,9207.997145,92.1155,8.906078,0.000001,-479.568849,-0.000409,273.755371,0,1,2,30,100,,0,1
305.8,-0.41436,0.062438,9216.867157,92.115621,9.284654,0.000001,-564.434862,-0.000482,79.612415,0,1,2,30,100,,0,1
305.9,-0.413847,0.062419,9226.390702,92.11575,9.649431,0,-573.213931,0,-130.985469,0,1,2,30,100,,0,1
306,-0.413319,0.0624,9236.57898,92.115884,10.001054,0,-508.217909,0,-330.270007,0,1,2,30,100,,0,1
306.1,-0.412775,0.062379,9247.442862,92.11602,10.340122,0,-380.564634,0,-494.983333,0,1,2,30,100,,0,1
306.2,-0.412215,0.062359,9258.99289,92.116161,10.667167,0.000001,-207.320454,-0.000177,-608.431463,0,1,2,30,100,,0,1
306.3,-0.41164,0.062337,9271.239281,92.116308,10.982694,0,-8.517917,0,-661.291253,0,1,2,30,100,,0,0
306.4,-0.411049,0.062316,9284.191941,92.116459,11.287171,0.000001,195.504303,0.000236,-651.350533,0,1,2,30,100,,0,0
306.5,-0.410442,0.062293,9297.860481,92.116615,11.581032,0.000001,386.21041,0.000466,-582.522277,0,1,2,30,100,,0,0
306.55,-0.410133,0.062282,9304.966687,92.116696,11.723801,0.000001,471.492831,0.000403,-528.739587,0,1,2,30,100,,0,0
306.6,-0.40982,0.06227,9312.255337,92.116779,11.86406,0,548.066761,0,-463.798972,0,1,2,30,100,,0,0
306.7,-0.40918,0.062247,9327.383333,92.116945,12.137863,0,670.492673,0,-306.291986,0,1,2,30,100,,0,0
306.8,-0.408525,0.062222,9343.254294,92.117116,12.402185,0,746.285901,0,-123.642303,0,1,2,30,100,,0,0
306.9,-0.407853,0.062198,9359.876706,92.117293,12.657356,0,772.722675,0,70.501378,0,1,2,30,100,,0,0
