时间戳,本机经度,本机纬度,本机高度,本机航向角,本机俯仰角,本机滚转角,本机速度X轴,本机速度Y轴,本机速度Z轴,体轴滚转角速度,体轴俯仰角速度,体轴偏航角速度,本机马赫数,本机剩余弹量,本机耗油率,左升降舵位置,右升降舵位置,左副翼位置,右副翼位置,方向舵位置,侧滑角,法向过载,迎角,燃油消耗,油门位置
0,-1.166667,0.083333,9144,90,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0.093565,-1.166454,0.083333,9144.000273,90,5.708816,0,212.234914,0,-137.347949,0,61.014176,0,0.820271,,0.005758,24.40567,24.40567,0,0,0,0,0,0,0,0
0.193158,-1.166228,0.083333,9144.000571,90,5.63629,0,201.724886,0,-152.366282,0,-0.728227,0,0.820273,,0.481503,-0.291291,-0.291291,0,0,0,0,0,0,0,0
0.244901,-1.16611,0.083333,9144.000568,90,5.638694,0,202.090587,0,-151.880876,0,0.046462,0,0.820273,,0.784392,0.018585,0.018585,0,0,0,0,0,0,0,0
0.343496,-1.165886,0.083333,9144.000568,90,5.638626,0,202.080248,0,-151.89457,0,-0.000688,0,0.820273,,0.708415,-0.000275,-0.000275,0,0,0,0,0,0,0,0
0.443059,-1.165659,0.083333,9144.000568,90,5.638617,0.000001,202.078844,0.000173,-151.896376,0.000009,-0.000091,0,0.820273,,0.769607,-0.000036,-0.000036,0.000003,-0.000003,0,0,0,0,0,0
0.493836,-1.165544,0.083333,9144.000568,90,5.638596,0,202.075615,0,-151.900642,-0.000017,-0.000417,0,0.820273,,0.890146,-0.000167,-0.000167,-0.000007,0.000007,0,0,0,0,0,0
0.5949,-1.165314,0.083333,9144.000568,90,5.638574,0,202.07231,0,-151.904979,0,-0.000213,0,0.820272,,0.823454,-0.000085,-0.000085,0,0,0,0,0,0,0,0
0.693496,-1.16509,0.083333,9144.000568,90,5.638564,0,202.070756,0,-151.906991,0,-0.000102,0,0.820272,,0.85071,-0.000041,-0.000041,0,0,0,0,0,0,0,0
0.792988,-1.164864,0.083333,9144.000568,90,5.638542,0,202.067428,0,-151.911362,0,-0.000218,0,0.820272,,0.867114,-0.000087,-0.000087,0,0,0,0,0,0,0,0
0.843835,-1.164748,0.083333,9144.000568,90,5.638522,0,202.06424,0,-151.915576,0,-0.000411,0,0.820272,,0.931634,-0.000164,-0.000164,0,0,0,0,0,0,0,0
0.943364,-1.164522,0.083333,9144.000568,90,5.6385,0.000001,202.060944,0.000173,-151.919908,0.000009,-0.000216,0,0.820272,,0.886723,-0.000087,-0.000087,0.000003,-0.000003,0,0,0,0,0,0
1,-1.164393,0.083333,9144.000568,90,5.63849,0.000001,202.059388,0.000244,-151.921949,0.000006,-0.000179,0,0.820272,,0.935075,-0.000072,-0.000072,0.000002,-0.000002,0,0,0,0,0,0
1.093731,-1.16418,0.083333,9144.000643,90.002292,5.638468,0.023329,202.01397,4.713599,-151.936164,0.248878,-0.000237,0.024454,0.820325,,0.906225,-0.000095,-0.000095,0.099551,-0.099551,0.002445,0.002445,0.002445,0.002445,0.002445,0.002445
1.15,-1.164052,0.083333,9144.000672,90.005634,5.618154,0.057286,198.63061,11.391206,-156.02191,0.603478,-0.361018,0.059383,0.82039,,1.135969,-0.144407,-0.144407,0.241391,-0.241391,0.005938,0.005938,0.005938,0.005938,0.005938,0.005938
1.244076,-1.163838,0.083333,9144.000676,90.013588,5.616431,0.137089,196.851358,27.156546,-156.386163,0.848289,-0.018307,0.084559,0.820505,,1.309482,-0.007323,-0.007323,0.339316,-0.339316,0.008456,0.008456,0.008456,0.008456,0.008456,0.008456
1.3,-1.163711,0.083333,9144.000676,90.019498,5.615484,0.195362,194.806431,38.549451,-156.587277,1.041991,-0.016934,0.105672,0.820573,,1.668257,-0.006774,-0.006774,0.416796,-0.416796,0.010567,0.010567,0.010567,0.010567,0.010567,0.010567
1.35,-1.163597,0.083333,9144.000677,90.025371,5.614845,0.252131,192.222728,49.519124,-156.725711,1.135384,-0.012775,0.11746,0.820634,,1.844127,-0.00511,-0.00511,0.454153,-0.454153,0.011746,0.011746,0.011746,0.011746,0.011746,0.011746
1.444195,-1.163383,0.083333,9144.000677,90.037519,5.614321,0.368014,185.157041,71.392877,-156.851747,1.230238,-0.00557,0.12897,0.820748,,1.922488,-0.002228,-0.002228,0.492095,-0.492095,0.012897,0.012897,0.012897,0.012897,0.012897,0.012897
1.5,-1.163256,0.083333,9144.000678,90.045296,5.613332,0.440749,179.35383,84.600388,-157.060845,1.303384,-0.017715,0.139347,0.820816,,2.21131,-0.007086,-0.007086,0.521354,-0.521354,0.013935,0.013935,0.013935,0.013935,0.013935,0.013935
1.55,-1.163142,0.083333,9144.000679,90.052583,5.612679,0.507333,173.250627,96.303467,-157.20203,1.331682,-0.013068,0.145754,0.820877,,2.346599,-0.005227,-0.005227,0.532673,-0.532673,0.014575,0.014575,0.014575,0.014575,0.014575,0.014575
1.644291,-1.162928,0.083333,9144.00068,90.066808,5.612151,0.63519,159.512339,117.575552,-157.328651,1.355991,-0.0056,0.15086,0.820992,,2.386565,-0.00224,-0.00224,0.542396,-0.542396,0.015086,0.015086,0.015086,0.015086,0.015086,0.015086
1.7,-1.162801,0.083333,9144.000681,90.075472,5.611115,0.711348,149.993095,129.275421,-157.546831,1.367065,-0.018594,0.155516,0.82106,,2.626741,-0.007437,-0.007437,0.546826,-0.546826,0.015552,0.015552,0.015552,0.015552,0.015552,0.015552
1.75,-1.162687,0.083333,9144.000682,90.083422,5.610441,0.779463,140.781434,139.120172,-157.691832,1.362295,-0.01347,0.15901,0.82112,,2.734451,-0.005388,-0.005388,0.544918,-0.544918,0.015901,0.015901,0.015901,0.015901,0.015901,0.015901
1.845397,-1.16247,0.083333,9144.000682,90.098756,5.609909,0.908313,121.703927,156.012224,-157.819442,1.35067,-0.00558,0.160738,0.821236,,2.74866,-0.002232,-0.002232,0.540268,-0.540268,0.016074,0.016074,0.016074,0.016074,0.016074,0.016074
1.9,-1.162346,0.083333,9144.000682,90.107619,5.608817,0.980965,109.971031,164.30488,-158.048305,1.330558,-0.02001,0.162309,0.821303,,2.957982,-0.008004,-0.008004,0.532223,-0.532223,0.016231,0.016231,0.016231,0.016231,0.016231,0.016231
1.95,-1.162232,0.083333,9144.000681,90.11583,5.608138,1.046448,98.937476,171.068623,-158.194081,1.309659,-0.013567,0.164223,0.821363,,3.042951,-0.005427,-0.005427,0.523864,-0.523864,0.016422,0.016422,0.016422,0.016422,0.016422,0.016422
